trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-87.17499851516261,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-29.95388862608671,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-113.65781839302423,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-149.9115458980874,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-193.2464975493683,"{0: 24, 1: 3, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-46.799146708478226,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-42.52603117327002,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-96.00104858462903,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,10,-3.5557766320976905,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,-23.066277644986016,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-233.79141228881758,"{0: 12, 1: 4, 2: 3, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,12.237033104399385,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-39.33655216133009,"{0: 24, 1: 3, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,22,15.930930950690707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,9,3.6820605544929323,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-22.6319686434217,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,5,7.7884694480908205,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,10.601858729935914,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-53.51611239048228,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,35.23334547649201,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,18,24.063455590545377,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",35,5,5.227626105735896,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,6,-1.4154802185005908,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,17,14.60463369612359,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,8,-16.858510625767256,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-93.56449579141395,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,10,-77.67270747265434,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,27.617442699732972,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,16,19.038899787717295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,7,-12.734366007260704,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
