trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",20,0,-101.89422173808016,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9024999999999999}",20,0,-109.18449287470878,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.8573749999999999}",25,0,-57.7729372048417,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.8145062499999999}",25,0,-127.12148227324971,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.7737809374999998}",30,0,-163.61947096497417,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.7350918906249998}",30,10,-48.50352082208819,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",1
7,False,"{'a': 0.1, 'e': 0.6983372960937497}",20,8,-4.350444753207878,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.6634204312890623}",20,0,-67.73949959893591,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.6302494097246091}",25,0,-112.54973273995071,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",1
10,False,"{'a': 0.1, 'e': 0.5987369392383787}",30,0,-130.83861376692067,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.5688000922764597}",20,0,-99.37636533773012,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.5403600876626367}",20,0,-22.07508754861646,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.5133420832795048}",25,6,-84.34398016527263,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.48767497911552954}",25,2,-117.13366775825098,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 2}",1
15,False,"{'a': 0.1, 'e': 0.46329123015975304}",30,15,-53.22521957465365,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.1, 'e': 0.44012666865176536}",25,0,-180.3330765715284,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
17,False,"{'a': 0.1, 'e': 0.4181203352191771}",25,0,-15.377072767288649,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.3972143184582182}",25,8,-18.519310922900853,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.37735360253530725}",20,0,-24.509124605940077,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.3584859224085419}",30,0,-10.189625217434239,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.34056162628811476}",25,6,-43.06581456621086,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
22,False,"{'a': 0.1, 'e': 0.323533544973709}",20,12,-28.558671548648356,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.1, 'e': 0.3073568677250236}",20,12,12.740837835751613,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.2919890243387724}",25,14,0.16120863129939145,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.1, 'e': 0.27738957312183377}",25,0,-22.29205967073502,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.1, 'e': 0.26352009446574204}",30,0,-47.46709055644353,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.1, 'e': 0.2503440897424549}",25,0,-75.94931039207101,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
28,False,"{'a': 0.1, 'e': 0.23782688525533216}",30,15,-22.2430937234657,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.1, 'e': 0.22593554099256555}",20,12,-2.3686032900684926,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.21463876394293727}",25,5,-52.475567779906555,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
31,False,"{'a': 0.1, 'e': 0.2039068257457904}",20,13,13.593920459686114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.1, 'e': 0.19371148445850087}",20,0,0.5633095258785306,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.1, 'e': 0.1840259102355758}",25,1,-20.23750879855978,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
