trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,1,-105.75885150378446,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-111.69477049748534,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,2,-69.06928228835513,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.12181176384843,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.61345433730743,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.14432499979773,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.67885694441011,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.67023327579693,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.95444808837576,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.66390968618197,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.15621257737288,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.63983099794862,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.3084725556972,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.57260393536825,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.06504504139411,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,7,-118.43360623853991,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,14,-68.83999506321594,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,5,-68.95878547388864,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.62910938054088,"{0: 16, 1: 1, 2: 9, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-306.5938694922736,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-58.15675691862196,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.4808479830126,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.66060264674879,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,5,-124.9904540839067,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.02440773385277,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.75156965041091,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.73454253685588,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.68757256354636,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.42108792560111,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-187.23101659505684,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
